"NAME OF CONTRIBUTOR"	"CITY"	"STATE/ZIP"	"ID NUMBER"	"EMPLOYER"	"OCCUPATION"	"AMOUNT"	"TRANSACTION TYPE"	"TYPE"	"TRANS. DATE"	"FILED DATE"	"TRANS #"
"CHISPA"	"SALINAS"	"CA / 93901"	""	""	""	"          $10,000.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"02/12/2018"	"06/29/2018"	"2262007-INC22"
"SELF HELP ENTERPRISES"	"VISALIA"	"CA / 93291"	""	""	""	"          $25,000.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"01/23/2018"	"06/29/2018"	"2262007-INC21"
"COMMUNITY HOUSING WORKS"	"SAN DIEGO"	"CA / 30561"	""	""	""	"           $5,000.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"01/17/2018"	"06/29/2018"	"2262007-INC20"
"PEOPLE'S SELF HELP HOUSING"	"SAN LUIS OBISPO"	"CA / 93401"	""	""	""	"          $25,000.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"01/02/2018"	"06/29/2018"	"2262007-INC19"
"COMMUNITY HOUSING IMPROVEMENT PROGRAM (CHIP)"	"HURON"	"TN / 38345"	""	""	""	"           $2,000.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"01/02/2018"	"06/29/2018"	"2262007-INC18"
"MUTUAL HOUSING CALIFORNIA"	"SACRAMENTO"	"CA / 95820"	""	""	""	"           $5,000.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"01/02/2018"	"06/29/2018"	"2262007-INC17"
"NORTHERN CIRCLE INDIAN HOUSING AUTHORITY"	"UKIAH"	"CA / 95482"	""	""	""	"           $5,000.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"01/02/2018"	"06/29/2018"	"2262007-INC16"
"HOUSING CALIFORNIA"	"SACRAMENTO"	"CA / 95814"	""	""	""	"          $25,000.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"04/17/2017"	"06/08/2018"	"2260499-INC1"
"RURAL COMMUNITY ASSISTANCE CORPORATION"	"WEST SACRAMENTO"	"CA / 95691"	""	""	""	"           $1,000.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"07/28/2017"	"06/08/2018"	"2260498-INC9"
"COMMUNITY ECONOMICS"	"OAKLAND"	"CA / 94607"	""	""	""	"          $10,000.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"07/25/2017"	"06/08/2018"	"2260498-INC8"
"JAMBOREE HOUSING CORPORATION"	"IRVINE"	"CA / 92614"	""	""	""	"           $2,500.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"07/10/2017"	"06/08/2018"	"2260498-INC7"
"SELF HELP ENTERPRISES"	"VISALIA"	"CA / 93291"	""	""	""	"           $2,500.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"07/05/2017"	"06/08/2018"	"2260498-INC6"
"USA PROPERTIES FUND"	"ROSEVILLE"	"CA / 95661"	""	""	""	"           $2,500.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"07/03/2017"	"06/08/2018"	"2260498-INC5"
"SAN DIEGO HOUSING FEDERATION"	"SAN DIEGO"	"CA / 92104"	""	""	""	"           $1,000.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"07/03/2017"	"06/08/2018"	"2260498-INC4"
"CHISPA"	"SALINAS"	"CA / 93901"	""	""	""	"           $1,000.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"06/27/2017"	"06/08/2018"	"2260498-INC3"
"AFFIRMED HOUSING GROUP"	"SAN DIEGO"	"CA / 92128"	""	""	""	"           $5,000.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"06/05/2017"	"06/08/2018"	"2260498-INC2"


