"DATE"	"PAYEE"	"EXPENDITURE CODE"	"DESCRIPTION"	"AMOUNT"
"11/15/2017"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$200,000.00"
"04/19/2018"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$170,000.00"
"12/12/2017"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$150,000.00"
"04/05/2018"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$150,000.00"
"04/16/2018"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$150,000.00"
"03/01/2018"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$120,000.00"
"04/12/2018"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$120,000.00"
"11/10/2017"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$100,000.00"
"04/26/2018"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$100,000.00"
"02/20/2018"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$100,000.00"
"02/22/2018"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$100,000.00"
"04/12/2018"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$80,000.00"
"03/12/2018"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$75,000.00"
"03/29/2018"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$70,000.00"
"01/19/2018"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$50,000.00"
"03/19/2018"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$50,000.00"
"12/19/2017"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$50,000.00"
"01/09/2018"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$50,000.00"
"03/22/2018"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$50,000.00"
"01/17/2018"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$30,000.00"
"03/01/2018"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$30,000.00"
"04/19/2018"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$30,000.00"
"01/17/2018"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$20,000.00"
"12/27/2017"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$20,000.00"
"11/22/2017"	"THE MONACO GROUP"	"PETITION CIRCULATING"	""	"$10,323.40"
"02/07/2018"	"GILLIARD BLANNING & ASSOCIATES, INC."	""	"CNS, OFC, PET, TRS"	"$8,070.00"
"03/29/2018"	"THE MONACO GROUP"	"PETITION CIRCULATING"	""	"$7,962.64"
"02/07/2018"	"PUBLIC OPINION STRATEGIES, L.L.C."	"POLLING AND SURVEY RESEARCH"	""	"$7,763.00"
"05/25/2018"	"CONNELL DONATELLI, INC."	"INFORMATION TECHNOLOGY COSTS (INTERNET, E-MAIL)"	""	"$6,500.00"
"02/27/2018"	"GILLIARD BLANNING & ASSOCIATES, INC."	"CAMPAIGN CONSULTANTS"	""	"$6,000.00"
"02/27/2018"	"GILLIARD BLANNING & ASSOCIATES, INC."	"CAMPAIGN CONSULTANTS"	""	"$6,000.00"
"11/09/2017"	"GILLIARD BLANNING & ASSOCIATES, INC."	"CAMPAIGN CONSULTANTS"	""	"$6,000.00"
"03/29/2018"	"GOCO CONSULTING"	"PETITION CIRCULATING"	""	"$5,000.00"
"11/09/2017"	"BELL, MCANDREWS & HILTACHK, LLP"	"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)"	""	"$4,741.00"
"12/22/2017"	"BELL, MCANDREWS & HILTACHK, LLP"	"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)"	""	"$3,946.29"
"12/22/2017"	"THE MONACO GROUP"	"PETITION CIRCULATING"	""	"$2,776.36"
"02/27/2018"	"BELL, MCANDREWS & HILTACHK, LLP"	"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)"	""	"$2,655.77"
"03/29/2018"	"CAMPAIGN SOLUTIONS"	"INFORMATION TECHNOLOGY COSTS (INTERNET, E-MAIL)"	""	"$2,479.62"
"06/04/2018"	"CAMPAIGN SOLUTIONS"	"OFFICE EXPENSES"	""	"$2,442.32"
"10/30/2017"	"GILLIARD BLANNING & ASSOCIATES, INC."	""	"OFC, WEB"	"$2,197.00"
"12/22/2017"	"THE MONACO GROUP"	"PETITION CIRCULATING"	""	"$1,896.04"
"12/22/2017"	"THE MONACO GROUP"	"CAMPAIGN PARAPHERNALIA/MISCELLANEOUS"	""	"$1,663.41"
"11/22/2017"	"THE MONACO GROUP"	"PETITION CIRCULATING"	""	"$1,561.58"
"12/22/2017"	"THE MONACO GROUP"	"POSTAGE, DELIVERY AND MESSENGER SERVICES"	""	"$1,553.00"
"03/29/2018"	"BELL, MCANDREWS & HILTACHK, LLP"	"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)"	""	"$1,515.72"
"10/30/2017"	"BELL, MCANDREWS & HILTACHK, LLP"	"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)"	""	"$1,189.32"
