"DATE"	"PAYEE"	"EXPENDITURE CODE"	"DESCRIPTION"	"AMOUNT"
"01/17/2018"	"NATIONAL PETITION MANAGEMENT, INC."	"PETITION CIRCULATING"	""	"$350,000.00"
"04/09/2018"	"NATIONAL PETITION MANAGEMENT, INC."	"PETITION CIRCULATING"	""	"$323,845.36"
"04/16/2018"	"NATIONAL PETITION MANAGEMENT, INC."	"PETITION CIRCULATING"	""	"$264,477.60"
"03/19/2018"	"NATIONAL PETITION MANAGEMENT, INC."	"PETITION CIRCULATING"	""	"$238,646.61"
"04/23/2018"	"NATIONAL PETITION MANAGEMENT, INC."	"PETITION CIRCULATING"	""	"$212,399.25"
"03/29/2018"	"NATIONAL PETITION MANAGEMENT, INC."	"PETITION CIRCULATING"	""	"$191,900.88"
"03/05/2018"	"NATIONAL PETITION MANAGEMENT, INC."	"PETITION CIRCULATING"	""	"$158,507.01"
"02/28/2018"	"NATIONAL PETITION MANAGEMENT, INC."	"PETITION CIRCULATING"	""	"$153,078.90"
"02/12/2018"	"NATIONAL PETITION MANAGEMENT, INC."	"PETITION CIRCULATING"	""	"$151,780.80"
"02/21/2018"	"NATIONAL PETITION MANAGEMENT, INC."	"PETITION CIRCULATING"	""	"$151,594.27"
"04/02/2018"	"NATIONAL PETITION MANAGEMENT, INC."	"PETITION CIRCULATING"	""	"$151,458.14"
"03/12/2018"	"NATIONAL PETITION MANAGEMENT, INC."	"PETITION CIRCULATING"	""	"$147,527.65"
"02/05/2018"	"NATIONAL PETITION MANAGEMENT, INC."	"PETITION CIRCULATING"	""	"$105,620.28"
"01/17/2018"	"DAVID BINDER RESEARCH, INC."	"POLLING AND SURVEY RESEARCH"	""	"$73,500.00"
"05/17/2018"	"NAISSANCE, LLC"	""	"TEL, WEB"	"$55,000.00"
"02/13/2018"	"NAISSANCE, LLC"	""	"TEL, WEB"	"$45,000.00"
"02/01/2018"	"NATIONAL PETITION MANAGEMENT, INC."	"PETITION CIRCULATING"	""	"$44,475.09"
"02/01/2018"	"THE MONACO GROUP"	"CAMPAIGN LITERATURE AND MAILINGS"	""	"$18,428.29"
"02/14/2018"	"THE MONACO GROUP"	"CAMPAIGN LITERATURE AND MAILINGS"	""	"$15,234.23"
"03/29/2018"	"THE MONACO GROUP"	"CAMPAIGN LITERATURE AND MAILINGS"	""	"$15,234.23"
"06/19/2018"	"MERCURY PUBLIC AFFAIRS"	"CAMPAIGN CONSULTANTS"	""	"$9,000.00"
"04/18/2018"	"MERCURY PUBLIC AFFAIRS"	"CAMPAIGN CONSULTANTS"	""	"$9,000.00"
"05/17/2018"	"MERCURY PUBLIC AFFAIRS"	"CAMPAIGN CONSULTANTS"	""	"$9,000.00"
"05/01/2018"	"ROSS COMMUNICATIONS & MANAGEMENT, INC."	"CAMPAIGN CONSULTANTS"	""	"$5,000.00"
"06/06/2018"	"ROSS COMMUNICATIONS & MANAGEMENT, INC."	"CAMPAIGN CONSULTANTS"	""	"$5,000.00"
"01/17/2018"	"ROSS COMMUNICATIONS & MANAGEMENT, INC."	"CAMPAIGN CONSULTANTS"	""	"$5,000.00"
"03/02/2018"	"ROSS COMMUNICATIONS & MANAGEMENT, INC."	"CAMPAIGN CONSULTANTS"	""	"$5,000.00"
"04/02/2018"	"ROSS COMMUNICATIONS & MANAGEMENT, INC."	"CAMPAIGN CONSULTANTS"	""	"$5,000.00"
"02/02/2018"	"ROSS COMMUNICATIONS & MANAGEMENT, INC."	"CAMPAIGN CONSULTANTS"	""	"$5,000.00"
"03/29/2018"	"ROSS COMMUNICATIONS & MANAGEMENT, INC."	"CAMPAIGN LITERATURE AND MAILINGS"	""	"$4,867.30"
"02/14/2018"	"BELL, MCANDREWS & HILTACHK, LLP"	"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)"	""	"$4,525.27"
"05/11/2018"	"BELL, MCANDREWS & HILTACHK, LLP"	"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)"	""	"$3,977.15"
"03/12/2018"	"BELL, MCANDREWS & HILTACHK, LLP"	"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)"	""	"$3,267.06"
"03/23/2018"	"JOHNSTON, EMILY"	"CAMPAIGN CONSULTANTS"	""	"$2,550.00"
"06/06/2018"	"PRINT LOGISTICS"	"CAMPAIGN LITERATURE AND MAILINGS"	""	"$1,997.60"
"06/19/2018"	"BELL, MCANDREWS & HILTACHK, LLP"	"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)"	""	"$1,873.74"
"04/13/2018"	"BELL, MCANDREWS & HILTACHK, LLP"	"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)"	""	"$1,636.59"
"05/17/2018"	"CALIFORNIA CHILDRENS HOSPITAL ASSOCIATION"	"STAFF/SPOUSE TRAVEL, LODGING AND MEALS"	""	"$1,440.17"
"04/16/2018"	"PRINT INFINITE"	"CAMPAIGN LITERATURE AND MAILINGS"	""	"$896.70"
"05/17/2018"	"ROSS COMMUNICATIONS & MANAGEMENT, INC."	"STAFF/SPOUSE TRAVEL, LODGING AND MEALS"	""	"$778.06"
"01/22/2018"	"ROSS COMMUNICATIONS & MANAGEMENT, INC."	"OFFICE EXPENSES"	""	"$650.00"
"03/12/2018"	"CALIFORNIA CHILDRENS HOSPITAL ASSOCIATION"	"OFFICE EXPENSES"	""	"$393.26"
"06/19/2018"	"MERCURY PUBLIC AFFAIRS"	"INFORMATION TECHNOLOGY COSTS (INTERNET, E-MAIL)"	""	"$250.68"
