"NAME OF CONTRIBUTOR"	"PAYMENT TYPE"	"CITY"	"STATE"	"ZIP"	"ID NUMBER"	"EMPLOYER"	"OCCUPATION"	"AMOUNT"	"TRANSACTION DATE"	"FILED DATE"	"TRANSACTION NUMBER"
"VALLEY CHILDREN'S HOSPITAL"	"MONETARY"	"MADERA"	"CA"	"93638"	"484259"	""	""	"$681,500.00"	"1/5/2018"	"4/30/2018"	"2241379 - INC1"
"CHILDREN'S HOSPITAL LOS ANGELES"	"MONETARY"	"LOS ANGELES"	"CA"	"90027"	"484214"	""	""	"$681,500.00"	"1/16/2018"	"4/30/2018"	"2241379 - INC10"
"CHILDREN'S HOSPITAL OF ORANGE COUNTY"	"MONETARY"	"ORANGE COUNTY"	"CA"	"92868"	"484207"	""	""	"$681,500.00"	"1/18/2018"	"4/30/2018"	"2241379 - INC11"
"CHILDREN'S HOSPITAL AND RESEARCH CENTER OAKLAND"	"MONETARY"	"OAKLAND"	"CA"	"94609"	""	""	""	"$681,500.00"	"2/1/2018"	"4/30/2018"	"2241379 - INC18"
"LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL"	"MONETARY"	"LOMA LINDA"	"CA"	"92354"	""	""	""	"$681,500.00"	"1/9/2018"	"4/30/2018"	"2241379 - INC2"
"MILLER CHILDRENS & WOMENS HOSPITAL LONG BEACH"	"MONETARY"	"LONG BEACH"	"CA"	"90801"	""	""	""	"$681,500.00"	"2/5/2018"	"4/30/2018"	"2241379 - INC20"
"RADY CHILDREN'S HOSPITAL - SAN DIEGO"	"MONETARY"	"SAN DIEGO"	"CA"	"92123"	""	""	""	"$681,500.00"	"2/9/2018"	"4/30/2018"	"2241379 - INC21"
"LUCILE PACKARD CHILDREN'S HOSPITAL"	"MONETARY"	"PALO ALTO"	"CA"	"94304"	"1262259"	""	""	"$681,500.00"	"1/10/2018"	"4/30/2018"	"2241379 - INC5"
"CHILDREN'S HOSPITAL LOS ANGELES"	"MONETARY"	"LOS ANGELES"	"CA"	"90027"	"484214"	""	""	"$100.00"	"4/23/2018"	"7/31/2018"	"2275437 - INC49"
"VALLEY CHILDREN'S HOSPITAL"	"MONETARY"	"MADERA"	"CA"	"93636"	"484259"	""	""	"$100.00"	"4/25/2018"	"7/31/2018"	"2275437 - INC50"
"CHILDREN'S HOSPITAL OF ORANGE COUNTY"	"MONETARY"	"ORANGE COUNTY"	"CA"	"92868"	"484207"	""	""	"$100.00"	"4/26/2018"	"7/31/2018"	"2275437 - INC51"
"CHILDREN'S HOSPITAL OF ORANGE COUNTY"	"MONETARY"	"ORANGE COUNTY"	"CA"	"92868"	"484207"	""	""	"$681,500.00"	"6/25/2018"	"7/31/2018"	"2275437 - INC66"

