"NAME OF CONTRIBUTOR"	"CITY"	"STATE/ZIP"	"ID NUMBER"	"EMPLOYER"	"OCCUPATION"	"AMOUNT"	"TRANSACTION TYPE"	"TYPE"	"TRANS. DATE"	"FILED DATE"	"TRANS #"
"RADY CHILDREN'S HOSPITAL - SAN DIEGO"	"SAN DIEGO"	"CA / 92123"	""	""	""	"         $681,500.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"07/30/2018"	"07/31/2018"	"2276042-INC97"
"CHILDREN'S HOSPITAL AND RESEARCH CENTER OAKLAND"	"OAKLAND"	"CA / 94609"	""	""	""	"         $681,500.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"07/10/2018"	"07/11/2018"	"2263931-INC86"
"LUCILE PACKARD CHILDREN'S HOSPITAL"	"PALO ALTO"	"CA / 94304"	"1262259"	""	""	"         $681,500.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"07/10/2018"	"07/11/2018"	"2263931-INC85"
"CHILDREN'S HOSPITAL LOS ANGELES"	"LOS ANGELES"	"CA / 90027"	"484214"	""	""	"         $681,500.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"07/09/2018"	"07/09/2018"	"2263279-INC80"
"VALLEY CHILDREN'S HOSPITAL"	"MADERA"	"CA / 93638"	"484259"	""	""	"         $681,500.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"07/06/2018"	"07/09/2018"	"2263279-INC79"
"MILLER CHILDREN'S & WOMEN'S HOSPITAL LONG BEACH"	"LONG BEACH"	"CA / 90801"	""	""	""	"         $681,500.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"07/02/2018"	"07/03/2018"	"2262422-INC73"
"CHILDREN'S HOSPITAL OF ORANGE COUNTY"	"ORANGE COUNTY"	"CA / 92868"	"484207"	""	""	"         $681,500.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"06/25/2018"	"06/26/2018"	"2261603-INC66"
"RADY CHILDRENS HOSPITAL"	"SAN DIEGO"	"CA / 92123"	""	""	""	"         $681,500.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"02/09/2018"	"02/09/2018"	"2214174-INC21"
"MILLER CHILDREN'S HOSPITAL AT LONG BEACH MEMORIAL"	"LONG BEACH"	"CA / 90801"	""	""	""	"         $681,500.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"02/05/2018"	"02/09/2018"	"2214174-INC20"
"CHILDREN'S HOSPITAL AND RESEARCH CENTER OAKLAND"	"OAKLAND"	"CA / 94609"	""	""	""	"         $681,500.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"02/01/2018"	"02/09/2018"	"2214174-INC18"
"CHILDREN'S HOSPITAL OF ORANGE COUNTY"	"ORANGE COUNTY"	"CA / 92868"	"484207"	""	""	"         $681,500.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"01/18/2018"	"01/19/2018"	"2203307-INC11"
"CHILDREN'S HOSPITAL LOS ANGELES"	"LOS ANGELES"	"CA / 90027"	"484214"	""	""	"         $681,500.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"01/16/2018"	"01/19/2018"	"2203307-INC10"
"LUCILE PACKARD CHILDRENS HOSPITAL"	"PALO ALTO"	"CA / 94304"	""	""	""	"         $681,500.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"01/10/2018"	"01/12/2018"	"2201590-INC5"
"LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL"	"LOMA LINDA"	"CA / 92354"	""	""	""	"         $681,500.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"01/09/2018"	"01/12/2018"	"2201590-INC2"
"VALLEY CHILDREN'S HOSPITAL"	"MADERA"	"CA / 93638"	""	""	""	"         $681,500.00"	"LATE CONTRIBUTION RECEIVED"	"INITIAL"	"01/05/2018"	"01/12/2018"	"2201590-INC1"


