"NAME OF CONTRIBUTOR"	"PAYMENT TYPE"	"CITY"	"STATE"	"ZIP"	"ID NUMBER"	"EMPLOYER"	"OCCUPATION"	"AMOUNT"	"TRANSACTION DATE"	"FILED DATE"	"TRANSACTION NUMBER"
"AMERICAN COUNCIL OF ENGINEERING COMPANIES (ACEC) ISSUES FUND"	"MONETARY"	"SACRAMENTO"	"CA"	"95814"	"1270458"	""	""	"$25,000.00"	"2/26/2018"	"6/2/2018"	"2238224 - INC16"
"LEAGUE OF CALIFORNIA CITIES CITIPAC"	"MONETARY"	"SACRAMENTO"	"CA"	"95814"	"1254399"	""	""	"$250,000.00"	"2/14/2018"	"6/2/2018"	"2238224 - INC278"
"LEAGUE OF CALIFORNIA CITIES CITIPAC"	"MONETARY"	"SACRAMENTO"	"CA"	"95814"	"1254399"	""	""	"$40,000.00"	"3/26/2018"	"6/2/2018"	"2238224 - INC279"
"COUNTY SUPERVISORS ASSOCIATION CALIFORNIA DBA CALIFORNIA STATE ASSN. OF COUNTIES (NONPROFIT 501 (C)(4)) - YES ON PROP. 69"	"MONETARY"	"SACRAMENTO"	"CA"	"95814"	"1404245"	""	""	"$250,000.00"	"3/26/2018"	"6/2/2018"	"2238224 - INC41"
"MEMBERS' VOICE OF THE STATE BUILDING AND CONSTRUCTION TRADES COUNCIL OF CALIFORNIA"	"MONETARY"	"SACRAMENTO"	"CA"	"95814"	"980162"	""	""	"$250,000.00"	"3/26/2018"	"6/2/2018"	"2238224 - INC42"
"OPERATING ENGINEERS LOCAL UNION NO. 3 ISSUES ADVOCACY/BALLOT INITIATIVE PAC"	"MONETARY"	"ALAMEDA"	"CA"	"94502"	"1345344"	""	""	"$25,000.00"	"4/9/2018"	"6/2/2018"	"2238224 - INC60"
"OPERATING ENGINEERS LOCAL UNION NO. 3 ISSUES ADVOCACY/BALLOT INITIATIVE PAC"	"MONETARY"	"ALAMEDA"	"CA"	"94502"	"1345344"	""	""	"$25,000.00"	"4/19/2018"	"6/2/2018"	"2238224 - INC81"
"CALIFORNIA ALLIANCE FOR JOBS - REBUILD CALIFORNIA COMMITTEE"	"NON-MONETARY"	"SACRAMENTO"	"CA"	"95814"	"1241892"	""	""	"$7,500.00"	"3/16/2018"	"6/2/2018"	"2238224 - NON23"
"CALIFORNIA ALLIANCE FOR JOBS - REBUILD CALIFORNIA COMMITTEE"	"NON-MONETARY"	"SACRAMENTO"	"CA"	"95814"	"1241892"	""	""	"$7,500.00"	"4/9/2018"	"6/2/2018"	"2238224 - NON61"
"INTERNATIONAL UNION OF OPERATING ENGINEERS"	"MONETARY"	"PASADENA"	"CA"	"91103"	""	""	""	"$250,000.00"	"5/23/2018"	"7/31/2018"	"2277187 - INC229"
"JOSEPH J. ALBANESE, INC."	"MONETARY"	"SANTA CLARA"	"CA"	"95050"	""	""	""	"$50,000.00"	"5/23/2018"	"7/31/2018"	"2277187 - INC230"
"DISTRICT COUNCIL OF PLASTERERS AND CEMENT MASONS PAC"	"MONETARY"	"SAN MATEO"	"CA"	"94401"	"1223459"	""	""	"$7,000.00"	"5/24/2018"	"7/31/2018"	"2277187 - INC231"
"NORTHERN CALIFORNIA DISTRICT COUNCIL OF LABORERS ISSUES PAC"	"MONETARY"	"SACRAMENTO"	"CA"	"95814"	"1273648"	""	""	"$400,000.00"	"5/25/2018"	"7/31/2018"	"2277187 - INC247"
"QLM, INC."	"MONETARY"	"SAN JOSE"	"CA"	"95111"	""	""	""	"$1,000.00"	"5/29/2018"	"7/31/2018"	"2277187 - INC253"
"IBEW 322 ISSUES ACCOUNT SPONSORED BY INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS LOCAL 322"	"MONETARY"	"SAN JOSE"	"CA"	"95125"	"1318985"	""	""	"$2,500.00"	"5/29/2018"	"7/31/2018"	"2277187 - INC254"
"PAVEMENT RECYCLING SYSTEMS, INC."	"MONETARY"	"MIRA LOMA"	"CA"	"91752"	""	""	""	"$1,000.00"	"5/30/2018"	"7/31/2018"	"2277187 - INC264"
"SSMB PACIFIC HOLDING COMPANY, INC."	"MONETARY"	"SAN LEANDRO"	"CA"	"94577"	""	""	""	"$10,000.00"	"5/30/2018"	"7/31/2018"	"2277187 - INC265"
"ASSOCIATED GENERAL CONTRACTORS ISSUES PAC, VOTE NO ON PROP 6"	"MONETARY"	"WEST SACRAMENTO"	"CA"	"95691"	"970230"	""	""	"$100,000.00"	"6/1/2018"	"7/31/2018"	"2277187 - INC289"
"CASE PACIFIC COMPANY"	"MONETARY"	"PASO ROBLES"	"CA"	"93446"	""	""	""	"$5,000.00"	"6/4/2018"	"7/31/2018"	"2277187 - INC293"
"CHRISP COMPANY"	"MONETARY"	"FREMONT"	"CA"	"94539"	""	""	""	"$25,000.00"	"6/8/2018"	"7/31/2018"	"2277187 - INC296"
"GOODFELLOW BROTHERS CALIFORNIA, LLC"	"MONETARY"	"LIVERMORE"	"CA"	"94551"	""	""	""	"$150,000.00"	"6/11/2018"	"7/31/2018"	"2277187 - INC297"
"HOLLIDAY ROCK COMPANY, INC."	"MONETARY"	"UPLAND"	"CA"	"91786"	""	""	""	"$50,000.00"	"6/11/2018"	"7/31/2018"	"2277187 - INC298"
"MCGUIRE AND HESTER"	"MONETARY"	"ALAMEDA"	"CA"	"94502"	""	""	""	"$75,000.00"	"6/13/2018"	"7/31/2018"	"2277187 - INC301"
"CALIFORNIA CONSTRUCTION & INDUSTRIAL ASSOCIATION"	"MONETARY"	"SACRAMENTO"	"CA"	"95814"	""	""	""	"$125,000.00"	"6/14/2018"	"7/31/2018"	"2277187 - INC324"
"VELLUTINI CORPORATION DBA ROYAL ELECTRIC COMPANY ROYAL SOUTHWEST"	"MONETARY"	"SACRAMENTO"	"CA"	"95828"	""	""	""	"$50,000.00"	"6/14/2018"	"7/31/2018"	"2277187 - INC325"
