"DATE"	"PAYEE"	"EXPENDITURE CODE"	"DESCRIPTION"	"AMOUNT"
"06/14/2018"	"NIELSEN MERKSAMER PARRINELLO GROSS & LEONI LLP"	"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)"	"ELLI ABDOLI, COMMITTEE TREASURER, IS A PARTNER OF PAYEE"	"$91,483.09"
"04/03/2018"	"FAIRBANK, MASLIN, MAULLIN, METZ, $ ASSOCIATES"	"POLLING AND SURVEY RESEARCH"	""	"$75,250.00"
"03/19/2018"	"NIELSEN MERKSAMER PARRINELLO GROSS & LEONI LLP"	"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)"	"ELLI ABDOLI, COMMITTEE TREASURER, IS A PARTNER OF PAYEE"	"$54,889.00"
"05/31/2018"	"NIELSEN MERKSAMER PARRINELLO GROSS & LEONI LLP"	"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)"	"ELLI ABDOLI, COMMITTEE TREASURER, IS A PARTNER OF PAYEE"	"$53,580.35"
"05/22/2018"	"SICILIANI, TONY"	"POSTAGE, DELIVERY AND MESSENGER SERVICES"	""	"$40,000.00"
"02/15/2018"	"NIELSEN MERKSAMER PARRINELLO GROSS & LEONI LLP"	"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)"	"ELLI ABDOLI, COMMITTEE TREASURER, IS A PARTNER OF PAYEE"	"$36,190.10"
"04/17/2018"	"NIELSEN MERKSAMER PARRINELLO GROSS & LEONI LLP"	"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)"	"ELLI ABDOLI, COMMITTEE TREASURER, IS A PARTNER OF PAYEE"	"$35,330.26"
"02/22/2018"	"DEBOO COMMUNICATIONS, INC."	"CAMPAIGN CONSULTANTS"	""	"$35,000.00"
"04/03/2018"	"DEBOO COMMUNICATIONS, INC."	"CAMPAIGN CONSULTANTS"	""	"$35,000.00"
"02/22/2018"	"DEBOO COMMUNICATIONS, INC."	"CAMPAIGN CONSULTANTS"	""	"$35,000.00"
"06/01/2018"	"DEBOO COMMUNICATIONS, INC."	"CAMPAIGN CONSULTANTS"	""	"$35,000.00"
"05/01/2018"	"DEBOO COMMUNICATIONS, INC."	"CAMPAIGN CONSULTANTS"	""	"$35,000.00"
"03/01/2018"	"DEBOO COMMUNICATIONS, INC."	"CAMPAIGN CONSULTANTS"	""	"$35,000.00"
"04/03/2018"	"STRATEGIES 360, INC."	"CAMPAIGN CONSULTANTS"	""	"$20,000.00"
"06/01/2018"	"STRATEGIES 360, INC."	"CAMPAIGN CONSULTANTS"	""	"$20,000.00"
"03/21/2018"	"STRATEGIES 360, INC."	"CAMPAIGN CONSULTANTS"	""	"$20,000.00"
"05/01/2018"	"STRATEGIES 360, INC."	"CAMPAIGN CONSULTANTS"	""	"$20,000.00"
"06/14/2018"	"JOINT MEDIAS"	"INFORMATION TECHNOLOGY COSTS (INTERNET, E-MAIL)"	""	"$16,300.00"
"05/01/2018"	"FORWARD OBSERVER, INC."	"CAMPAIGN CONSULTANTS"	""	"$15,000.00"
"05/01/2018"	"STEVEN MAVIGLIO DBA FORZA COMMUNICATION"	"CAMPAIGN CONSULTANTS"	""	"$15,000.00"
"06/20/2018"	"PELOTE STRATEGIC CONSULTING & ADVOCACY"	"CAMPAIGN CONSULTANTS"	""	"$15,000.00"
"02/22/2018"	"FORWARD OBSERVER, INC."	"CAMPAIGN CONSULTANTS"	""	"$15,000.00"
"04/03/2018"	"CALLAHAN PUBLIC AFFAIRS"	"CAMPAIGN CONSULTANTS"	""	"$15,000.00"
"04/03/2018"	"FORWARD OBSERVER, INC."	"CAMPAIGN CONSULTANTS"	""	"$15,000.00"
"04/23/2018"	"STEVEN MAVIGLIO DBA FORZA COMMUNICATION"	"CAMPAIGN CONSULTANTS"	""	"$15,000.00"
"03/01/2018"	"CALLAHAN PUBLIC AFFAIRS"	"CAMPAIGN CONSULTANTS"	""	"$15,000.00"
"05/01/2018"	"STEVEN MAVIGLIO DBA FORZA COMMUNICATION"	"CAMPAIGN CONSULTANTS"	""	"$15,000.00"
"06/01/2018"	"STEVEN MAVIGLIO DBA FORZA COMMUNICATION"	"CAMPAIGN CONSULTANTS"	""	"$15,000.00"
"03/01/2018"	"FORWARD OBSERVER, INC."	"CAMPAIGN CONSULTANTS"	""	"$15,000.00"
"05/01/2018"	"CALLAHAN PUBLIC AFFAIRS"	"CAMPAIGN CONSULTANTS"	""	"$15,000.00"
"06/01/2018"	"CALLAHAN PUBLIC AFFAIRS"	"CAMPAIGN CONSULTANTS"	""	"$15,000.00"
"06/01/2018"	"FORWARD OBSERVER, INC."	"CAMPAIGN CONSULTANTS"	""	"$15,000.00"
"02/22/2018"	"CALLAHAN PUBLIC AFFAIRS"	"CAMPAIGN CONSULTANTS"	""	"$15,000.00"
"02/22/2018"	"SCN STRATEGIES"	"CAMPAIGN CONSULTANTS"	""	"$10,000.00"
"05/01/2018"	"SCN STRATEGIES"	"CAMPAIGN CONSULTANTS"	""	"$10,000.00"
"04/03/2018"	"SCN STRATEGIES"	"CAMPAIGN CONSULTANTS"	""	"$10,000.00"
"05/09/2018"	"EMILY JOHNSON DBA EMJ PUBLIC AFFAIRS"	"CAMPAIGN CONSULTANTS"	""	"$10,000.00"
"06/01/2018"	"SCN STRATEGIES"	"CAMPAIGN CONSULTANTS"	""	"$10,000.00"
"05/09/2018"	"EMILY JOHNSON DBA EMJ PUBLIC AFFAIRS"	"CAMPAIGN CONSULTANTS"	""	"$10,000.00"
"06/01/2018"	"EMILY JOHNSON DBA EMJ PUBLIC AFFAIRS"	"CAMPAIGN CONSULTANTS"	""	"$10,000.00"
"02/22/2018"	"SCN STRATEGIES"	"CAMPAIGN CONSULTANTS"	""	"$10,000.00"
"03/01/2018"	"SCN STRATEGIES"	"CAMPAIGN CONSULTANTS"	""	"$10,000.00"
"06/14/2018"	"CALLAHAN PUBLIC AFFAIRS"	""	"SEE SCHEDULE G"	"$8,688.47"
"05/01/2018"	"GRIZZLY BEAR MEDIA INC,"	"CAMPAIGN CONSULTANTS"	""	"$5,000.00"
"05/31/2018"	"CAPITOL MATRIX CONSULTING"	"CAMPAIGN CONSULTANTS"	""	"$5,000.00"
"05/22/2018"	"LOS ANGELES COUNTY DEMOCRATIC PARTY- STATE CANDIDATE COMMITTEE"	"CONTRIBUTION"	""	"$5,000.00"
"05/01/2018"	"CALLAHAN PUBLIC AFFAIRS"	"CAMPAIGN CONSULTANTS"	""	"$5,000.00"
"05/01/2018"	"GRIZZLY BEAR MEDIA INC,"	"CAMPAIGN CONSULTANTS"	""	"$5,000.00"
"06/01/2018"	"GRIZZLY BEAR MEDIA INC,"	"CAMPAIGN CONSULTANTS"	""	"$5,000.00"
"05/01/2018"	"GRIZZLY BEAR MEDIA INC,"	"CAMPAIGN CONSULTANTS"	""	"$5,000.00"
"05/22/2018"	"SCN STRATEGIES"	""	"SEE SCHEDULE G"	"$4,829.17"
"06/14/2018"	"CALLAHAN PUBLIC AFFAIRS"	""	"SEE SCHEDULE G"	"$3,845.28"
"04/20/2018"	"DEBOO COMMUNICATIONS, INC."	""	"SEE SCHEDULE G"	"$3,626.77"
"03/07/2018"	"CALIFORNIA APARTMENT ASSOCIATION"	"INFORMATION TECHNOLOGY COSTS (INTERNET, E-MAIL)"	""	"$3,568.00"
"04/20/2018"	"CALLAHAN PUBLIC AFFAIRS"	""	"SEE SCHEDULE G"	"$3,409.26"
"04/30/2018"	"EFUNDRAISING CONNECTIONS"	""	"FUNDRAISING FEE"	"$2,476.00"
"06/01/2018"	"DELGADO, NICHOL"	"CAMPAIGN CONSULTANTS"	""	"$1,750.00"
"06/04/2018"	"EFUNDRAISING CONNECTIONS"	""	"FUNDRAISING EVENT - TICKETS AND PARKING PASSES"	"$1,172.25"
"05/21/2018"	"POLITICAL DATA INC."	""	"DATA FILES"	"$586.23"
"05/17/2018"	"EFUNDRAISING CONNECTIONS"	""	"FUNDRAISING FEE"	"$460.00"
"06/22/2018"	"EFUNDRAISING CONNECTIONS"	""	"FUNDRAISING FEE"	"$450.50"
"06/15/2018"	"EFUNDRAISING CONNECTIONS"	""	"FUNDRAISING FEE"	"$450.50"
"05/02/2018"	"EFUNDRAISING CONNECTIONS"	""	"FUNDRAISING FEE"	"$379.16"
"05/01/2018"	"GRIZZLY BEAR MEDIA INC,"	""	"REIMBURSED EXPENSES"	"$341.00"
"05/03/2018"	"EFUNDRAISING CONNECTIONS"	""	"FUNDRAISING FEE"	"$337.00"
