"NAME OF CONTRIBUTOR"	"PAYMENT TYPE"	"CITY"	"STATE"	"ZIP"	"ID NUMBER"	"EMPLOYER"	"OCCUPATION"	"AMOUNT"	"TRANSACTION DATE"	"FILED DATE"	"TRANSACTION NUMBER"
"FRESENIUS MEDICAL CARE NORTH AMERICA"	"MONETARY"	"NEWTON"	"KS"	"67114"	""	""	""	"$350,000.00"	"11/27/2017"	"2/27/2018"	"2210070 - INC1"
"DAVITA"	"MONETARY"	"WASHINGTON"	"DC"	"20001"	"1257183"	""	""	"$350,000.00"	"12/1/2017"	"2/27/2018"	"2210070 - INC9"
"DAVITA"	"MONETARY"	"WASHINGTON"	"DC"	"20001"	"1257183"	""	""	"$339,000.00"	"1/16/2018"	"8/15/2018"	"2241377 - INC55"
"FRESENIUS MEDICAL CARE NORTH AMERICA"	"MONETARY"	"NEWTON"	"KS"	"67114"	""	""	""	"$339,000.00"	"1/16/2018"	"8/15/2018"	"2241377 - INC56"
"DAVITA"	"MONETARY"	"WASHINGTON"	"DC"	"20001"	"1257183"	""	""	"$487,500.00"	"3/27/2018"	"8/15/2018"	"2241377 - INC94"
"FRESENIUS MEDICAL CARE NORTH AMERICA"	"MONETARY"	"NEWTON"	"KS"	"67114"	""	""	""	"$2,500,000.00"	"5/29/2018"	"7/31/2018"	"2275436 - INC182"
"DAVITA"	"MONETARY"	"WASHINGTON"	"DC"	"20001"	"1257183"	""	""	"$2,500,000.00"	"6/1/2018"	"7/31/2018"	"2275436 - INC235"
"AMERICAN RENAL MANAGEMENT LLC"	"MONETARY"	"BEVERLY"	"MA"	"01915"	""	""	""	"$100,000.00"	"6/11/2018"	"7/31/2018"	"2275436 - INC236"
"FRESENIUS MEDICAL CARE NORTH AMERICA"	"MONETARY"	"NEWTON"	"KS"	"67114"	""	""	""	"$487,500.00"	"4/3/2018"	"7/31/2018"	"2275436 - INC95"
"FRESENIUS MEDICAL CARE NORTH AMERICA"	"NON-MONETARY"	"NEWTON"	"KS"	"67114"	""	""	""	"$567,966.00"	"6/27/2018"	"7/31/2018"	"2275436 - NON265"

