"DATE"	"PAYEE"	"EXPENDITURE CODE"	"DESCRIPTION"	"AMOUNT"
"01/12/2018"	"GIVE VOTERS A VOICE - REPRESENTATIVES AND TAXPAYERS AGAINST TAX INCREASES"	"CONTRIBUTION"	""	"$25,000.00"
"04/03/2018"	"GIVE VOTERS A VOICE - REPRESENTATIVES AND TAXPAYERS AGAINST TAX INCREASES"	"CONTRIBUTION"	""	"$25,000.00"
"02/15/2018"	"BELL, MCANDREWS & HILTACHK, LLP"	"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)"	""	"$1,588.77"
"05/11/2018"	"BELL, MCANDREWS & HILTACHK, LLP"	"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)"	""	"$1,023.57"
"01/09/2018"	"BELL, MCANDREWS & HILTACHK, LLP"	"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)"	""	"$742.05"
"06/11/2018"	"BELL, MCANDREWS & HILTACHK, LLP"	"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)"	""	"$602.82"
"12/13/2017"	"THE MONACO GROUP"	"CAMPAIGN LITERATURE AND MAILINGS"	""	"$463.58"
"03/14/2018"	"BELL, MCANDREWS & HILTACHK, LLP"	"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)"	""	"$385.05"
"05/17/2018"	"HOWARD JARVIS TAXPAYERS ASSOCIATION"	"POSTAGE, DELIVERY AND MESSENGER SERVICES"	""	"$379.57"
"04/09/2018"	"BELL, MCANDREWS & HILTACHK, LLP"	"PROFESSIONAL SERVICES (LEGAL, ACCOUNTING)"	""	"$372.30"
"04/03/2018"	"HOWARD JARVIS TAXPAYERS ASSOCIATION"	"INFORMATION TECHNOLOGY COSTS (INTERNET, E-MAIL)"	""	"$300.00"
"04/03/2018"	"HOWARD JARVIS TAXPAYERS ASSOCIATION"	"INFORMATION TECHNOLOGY COSTS (INTERNET, E-MAIL)"	""	"$300.00"
"04/02/2018"	"HOWARD JARVIS TAXPAYERS ASSOCIATION"	"INFORMATION TECHNOLOGY COSTS (INTERNET, E-MAIL)"	""	"$300.00"
"02/16/2018"	"HOWARD JARVIS TAXPAYERS ASSOCIATION"	"INFORMATION TECHNOLOGY COSTS (INTERNET, E-MAIL)"	""	"$300.00"
"05/17/2018"	"HOWARD JARVIS TAXPAYERS ASSOCIATION"	"POSTAGE, DELIVERY AND MESSENGER SERVICES"	""	"$166.69"
"06/28/2018"	"HOWARD JARVIS TAXPAYERS ASSOCIATION"	"INFORMATION TECHNOLOGY COSTS (INTERNET, E-MAIL)"	""	"$100.00"
"01/26/2018"	"EFUNDRAISING CONNECTIONS, LLC"	"OFFICE EXPENSES"	""	"$60.11"
"03/14/2018"	"EFUNDRAISING CONNECTIONS, LLC"	"OFFICE EXPENSES"	""	"$39.24"
"01/29/2018"	"EFUNDRAISING CONNECTIONS, LLC"	"OFFICE EXPENSES"	""	"$22.28"
"01/30/2018"	"EFUNDRAISING CONNECTIONS, LLC"	"OFFICE EXPENSES"	""	"$17.36"
"01/31/2018"	"EFUNDRAISING CONNECTIONS, LLC"	"OFFICE EXPENSES"	""	"$11.61"
"04/05/2018"	"EFUNDRAISING CONNECTIONS, LLC"	"OFFICE EXPENSES"	""	"$7.63"
"02/06/2018"	"EFUNDRAISING CONNECTIONS, LLC"	"OFFICE EXPENSES"	""	"$5.00"
"03/19/2018"	"EFUNDRAISING CONNECTIONS, LLC"	"OFFICE EXPENSES"	""	"$5.00"
"04/04/2018"	"EFUNDRAISING CONNECTIONS, LLC"	"OFFICE EXPENSES"	""	"$4.96"
"02/07/2018"	"EFUNDRAISING CONNECTIONS, LLC"	"OFFICE EXPENSES"	""	"$4.38"
"03/21/2018"	"EFUNDRAISING CONNECTIONS, LLC"	"OFFICE EXPENSES"	""	"$3.93"
"02/23/2018"	"EFUNDRAISING CONNECTIONS, LLC"	"OFFICE EXPENSES"	""	"$3.47"
"02/13/2018"	"EFUNDRAISING CONNECTIONS, LLC"	"OFFICE EXPENSES"	""	"$2.80"
"03/26/2018"	"EFUNDRAISING CONNECTIONS, LLC"	"OFFICE EXPENSES"	""	"$2.75"
"03/09/2018"	"EFUNDRAISING CONNECTIONS, LLC"	"OFFICE EXPENSES"	""	"$2.75"
"04/06/2018"	"EFUNDRAISING CONNECTIONS, LLC"	"OFFICE EXPENSES"	""	"$2.67"
"04/10/2018"	"EFUNDRAISING CONNECTIONS, LLC"	"OFFICE EXPENSES"	""	"$2.08"
"02/09/2018"	"EFUNDRAISING CONNECTIONS, LLC"	"OFFICE EXPENSES"	""	"$1.99"
"04/23/2018"	"EFUNDRAISING CONNECTIONS, LLC"	"OFFICE EXPENSES"	""	"$1.63"
"05/02/2018"	"EFUNDRAISING CONNECTIONS, LLC"	"OFFICE EXPENSES"	""	"$1.63"
"04/18/2018"	"EFUNDRAISING CONNECTIONS, LLC"	"OFFICE EXPENSES"	""	"$1.63"
"01/19/2018"	"EFUNDRAISING CONNECTIONS, LLC"	"OFFICE EXPENSES"	""	"$0.95"
"02/01/2018"	"EFUNDRAISING CONNECTIONS, LLC"	"OFFICE EXPENSES"	""	"$0.95"
